,object,part,cump,x,y,x2,y2,Transect
1,1,1,1,268677.5631,1504619.426,268478.5218,1504521.571,H1
3,2,1,2,268594.7885,1504269.15,268497.5682,1504467.165,H2
5,3,1,3,268742.5983,1503969.762,268645.2387,1504167.137,H3
7,4,1,4,268818.6097,1503818.279,268880.8566,1503694.623,H4
8,4,1,4,268880.8566,1503694.623,268902.7491,1503650.398,H4
9,4,1,4,268902.7491,1503650.398,268923.8787,1503623.327,H4
11,5,1,5,269244.9946,1503531.504,269262.2854,1503523.645,H5
12,5,1,5,269262.2854,1503523.645,269295.1163,1503514.832,H5
13,5,1,5,269295.1163,1503514.832,269320.6392,1503511.13,H5
14,5,1,5,269320.6392,1503511.13,269351.2356,1503511.615,H5
15,5,1,5,269351.2356,1503511.615,269386.3942,1503519.145,H5
16,5,1,5,269386.3942,1503519.145,269418.6787,1503532.066,H5
17,5,1,5,269418.6787,1503532.066,269454.2347,1503549.497,H5
19,6,1,6,269249.0242,1503824.891,269278.1451,1503788.221,H6
20,6,1,6,269278.1451,1503788.221,269333.1011,1503816.748,H6
21,6,1,6,269333.1011,1503816.748,269341.7213,1503813.646,H6
22,6,1,6,269341.7213,1503813.646,269364.3868,1503771.172,H6
23,6,1,6,269364.3868,1503771.172,269388.7558,1503722.925,H6
25,7,1,7,269094.2965,1504344.162,269187.7792,1504144.883,H7
27,8,1,8,269030.6125,1504474.184,268933.1403,1504673.79,H8
29,9,1,9,268493.6305,1504474.919,268922.1889,1504668.453,HK
31,10,1,10,268560.8822,1504389.071,268954.4788,1504585.988,HL
33,11,1,11,268603.4754,1504287.728,269006.4834,1504482.501,HM
35,12,1,12,269056.2673,1504383.263,268650.3178,1504181.208,HN
37,13,1,13,269119.6535,1504273.196,268702.4068,1504071.824,HO
39,14,1,14,269183.0022,1504143.95,268753.3771,1503953.51,HP
41,15,1,15,269148.2369,1503990.01,268810.0606,1503838.125,HQ
43,16,1,16,269282.387,1503922.977,268867.3317,1503731.963,HR
45,17,1,17,268936.9364,1503612.447,269349.465,1503788.088,HS
47,18,1,18,269209.2792,1503580.744,269397.2463,1503665.468,HT
