,object,part,cump,x,y,x2,y2,Transect
1,1,1,1,268906.9255,1503561.879,268854.4303,1503645.312,RE01
3,2,1,2,268829.2004,1503686.563,268786.4929,1503775.359,RE02
5,3,1,3,268762.8324,1503817.492,268716.9114,1503905.843,RE03
7,4,1,4,268697.0252,1503952.417,268653.5189,1504042.699,RE04
9,5,1,5,268634.9017,1504089.216,268586.3974,1504176.077,RE05
11,6,1,6,268565.1368,1504221.619,268519.8005,1504309.278,RE06
13,7,1,7,268497.6439,1504353.503,268452.842,1504443.049,RE07
15,8,1,8,268433.7342,1504491.097,268389.9594,1504580.316,RE08
17,9,1,9,268368.1418,1504622.978,268324.6969,1504712.383,RE09
19,10,1,10,268388.8378,1503258.455,268482.9222,1503081.205,RP01
21,11,1,11,268423.7377,1503269.567,268511.4396,1503088.864,RP02
23,12,1,12,268459.3944,1503297.677,268548.3616,1503120.108,RP03
25,13,1,13,268620.1264,1503156.054,268528.2258,1503333.407,RP04
27,14,1,14,268647.8722,1503168.889,268559.2298,1503349.252,RP05
29,15,1,15,268605.6287,1503365.729,268700.898,1503189.586,RP06
31,16,1,16,268670.3448,1503408.835,268762.2328,1503230.702,RP07
33,17,1,17,268712.9867,1503425.554,268804.8752,1503246.277,RP08
35,18,1,18,268745.0506,1503444.484,268835.6187,1503266.755,RP09
37,19,1,19,268438.1794,1503056.535,268354.1889,1503231.023,RP10
39,20,1,20,268415.2724,1503036.815,268333.4858,1503215.711,RP11
41,21,1,21,268380.4385,1503014.988,268288.8708,1503189.542,RP12
43,22,1,22,268870.0589,1503296.218,268778.4119,1503461.918,RP13
45,23,1,23,268725.3913,1503217.805,268633.8419,1503394.571,RP14
