PROJECTCODE,TRAP,LOCATION,Lon,Lat,UTM X,UTM Y
SWIFT TRAP ARRAY,D,DA01,144.88145,13.51153,270694,1494696
SWIFT TRAP ARRAY,D,DA02,144.88145,13.51164,270694.45,1494708.571
SWIFT TRAP ARRAY,D,DA03,144.88145,13.51176,270694.9126,1494721.298
SWIFT TRAP ARRAY,D,DA04,144.88145,13.51187,270694.6582,1494733.671
SWIFT TRAP ARRAY,D,DA05,144.88145,13.51199,270694.7683,1494746.773
SWIFT TRAP ARRAY,D,DA06,144.88145,13.5121,270695.224,1494759.17
SWIFT TRAP ARRAY,D,DA07,144.88145,13.51221,270694.9383,1494771.607
SWIFT TRAP ARRAY,D,DA08,144.88145,13.51232,270695.0242,1494784.054
SWIFT TRAP ARRAY,D,DA09,144.88145,13.51244,270695.1018,1494796.921
SWIFT TRAP ARRAY,D,DA10,144.88145,13.51255,270695.1525,1494809.537
SWIFT TRAP ARRAY,D,DA11,144.88144,13.51266,270694.8505,1494821.77
SWIFT TRAP ARRAY,D,DA12,144.88146,13.51277,270696.0618,1494833.864
SWIFT TRAP ARRAY,D,DB01,144.88151,13.51151,270701,1494694
SWIFT TRAP ARRAY,D,DB02,144.88156,13.51161,270706.6658,1494705.41
SWIFT TRAP ARRAY,D,DB03,144.88163,13.51171,270713.6781,1494716.19
SWIFT TRAP ARRAY,D,DB04,144.88168,13.51181,270719.2715,1494727.075
SWIFT TRAP ARRAY,D,DB05,144.88174,13.51191,270726.3229,1494737.928
SWIFT TRAP ARRAY,D,DB06,144.8818,13.51201,270732.8525,1494748.943
SWIFT TRAP ARRAY,D,DB07,144.88186,13.51211,270739.3482,1494759.713
SWIFT TRAP ARRAY,D,DB08,144.88192,13.5122,270745.7027,1494770.531
SWIFT TRAP ARRAY,D,DB09,144.88197,13.5123,270751.8968,1494781.134
SWIFT TRAP ARRAY,D,DB10,144.88203,13.5124,270758.4817,1494791.597
SWIFT TRAP ARRAY,D,DB11,144.88209,13.5125,270764.4788,1494802.587
SWIFT TRAP ARRAY,D,DB12,144.88215,13.5126,270770.9486,1494813.695
SWIFT TRAP ARRAY,D,DC01,144.88156,13.51148,270706,1494690
SWIFT TRAP ARRAY,D,DC02,144.88165,13.51153,270716.4617,1494696.201
SWIFT TRAP ARRAY,D,DC03,144.88175,13.51159,270726.6981,1494702.195
SWIFT TRAP ARRAY,D,DC04,144.88186,13.51165,270738.4621,1494708.64
SWIFT TRAP ARRAY,D,DC05,144.88196,13.5117,270749.1707,1494714.067
SWIFT TRAP ARRAY,D,DC06,144.88205,13.51176,270759.9788,1494721.052
SWIFT TRAP ARRAY,D,DC07,144.88215,13.51181,270770.9018,1494727.078
SWIFT TRAP ARRAY,D,DC08,144.88225,13.51187,270781.7379,1494733.105
SWIFT TRAP ARRAY,D,DC09,144.88236,13.51193,270792.9045,1494739.25
SWIFT TRAP ARRAY,D,DC10,144.88246,13.51198,270803.6453,1494745.543
SWIFT TRAP ARRAY,D,DC11,144.88255,13.51204,270814.4239,1494751.792
SWIFT TRAP ARRAY,D,DC12,144.88265,13.5121,270825.1194,1494757.858
SWIFT TRAP ARRAY,D,DD01,144.88157,13.51142,270707,1494684
SWIFT TRAP ARRAY,D,DD02,144.88168,13.51142,270719.1325,1494684.082
SWIFT TRAP ARRAY,D,DD03,144.8818,13.51142,270731.9,1494683.254
SWIFT TRAP ARRAY,D,DD04,144.88192,13.51142,270744.6749,1494683.508
SWIFT TRAP ARRAY,D,DD05,144.88203,13.51142,270757.0467,1494683.802
SWIFT TRAP ARRAY,D,DD06,144.88214,13.51142,270768.6852,1494683.721
SWIFT TRAP ARRAY,D,DD07,144.88226,13.51143,270782.3502,1494684.07
SWIFT TRAP ARRAY,D,DD08,144.88238,13.51142,270794.5569,1494683.31
SWIFT TRAP ARRAY,D,DD09,144.88249,13.51142,270806.784,1494683.607
SWIFT TRAP ARRAY,D,DD10,144.88261,13.51142,270819.5184,1494683.474
SWIFT TRAP ARRAY,D,DD11,144.88272,13.51142,270831.7835,1494683.023
SWIFT TRAP ARRAY,D,DD12,144.88283,13.51143,270843.9551,1494683.784
SWIFT TRAP ARRAY,D,DE01,144.88156,13.51137,270706,1494678
SWIFT TRAP ARRAY,D,DE02,144.88165,13.5113,270715.865,1494670.646
