EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,CAPLAT,CAPLON,TRAPTYPE,ENTRTYPE,BAIT,OTHRTYPE,POSITIO1,SITE,CLASS,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
8789,41530,14333,RDW,30-May-12,,124046,,3636,,OLD,951,1203,88,,,H,13,,,M,M,M,,T,NWFN,,,1.05967963,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8793,41540,14340,EMS,31-May-12,,124046,,3636,,OLD,946,1203,88,+,F,H,13,,,M,M,M,,N,NWFN,,,1.077766763,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8814,41644,14381,RGL,5-Jun-12,,124046,,3636,,OLD,,,86,,,B,11,,,M,M,M,,N,NWFN,,,,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8916,42085,14506,TJH,20-Jun-12,,124046,,3636,,OLD,,,86,,F,D,10,,,M,M,M,,T,NWFN,,GOOD PROBE,,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8935,42174,14537,PML,22-Jun-12,,124046,,3636,,OLD,,,86,,,D,10,,,M,M,M,,N,NWFN,,,,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8950,42248,14554,TJH,26-Jun-12,,124046,,3636,,OLD,,,88,,,B,11,,,M,M,M,,N,NWFN,,,,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
8997,42457,14615,EMS,5-Jul-12,,124046,,3636,,OLD,974,1234,88,,,D,9,,,M,M,M,,t,NWFN,,,0.980776465,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
9013,42522,14630,EMS,7-Jul-12,,124046,,3636,,OLD,,,88,,,D,11,,,M,M,M,,N,NWFN,,,,F,4,"FOUR SEXINGS AS F, 1 >800MM",POST KB TRAP 1,,,
7470,35849,12439,JCS,22-Mar-11,,284099,,5779,,OLD,703,912,36,,,B,1,,,M,M,M,,N,NWFN,R,,1.055490364,F,2,MULTIPLE SEXINGS AS F <800MM,KB TRAP,,,
7498,35938,12527,GRH,28-Mar-11,,782567,,9131,,OLD,777,994,43,,,P,3,,,M,M,M,,N,NWFN,R,HAS ANOTHER PITTAG=000782567,0.955527249,M,4,MULTIPLE UNANIMOUS SEXINGS AS M,KB TRAP,"ORIGINAL PIT TAG LOST, SNAKE MISIDENTIFIED BY DUPLICATED CLIP # WITH INCORRECT TAG # 486C574A3F",,CORRECT PITTAG IDENTIFIED AND CHANGED TO 000782567 BY MXM 19 DEC 12
8941,42216,14548,PML,24-Jun-12,,792809,,3662,,OLD,871,1107,56,,F,Z,9,,,M,M,M,,N,NWFN,,"MORPHED BY PML, RIGHT EYE SUNKEN.",0.888165461,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 1,Sex as F with pop only; clarify,2,
9649,46276,15673,MSP,3-Jun-13,,792809,,3662,,OLD,1008,1272,109,,F,X,11,,,M,M,M,,N,NWFN,,"ONE EYE WEIRD (FLAT, DARK)",1.085032441,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 2,,,
9685,46625,15915,MJC,6-Jun-13,,792809,,3662,,OLD,1000,1263,106,,F,P,12,,,M,M,M,,N,NWFN,,,1.083439338,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 2,,,
9746,47095,16188,MJC,15-Jun-13,,792809,,3662,,OLD,,1261,111,,,R,11,,,M,M,M,,N,NWFN,,,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 2,SVL READ 899 WHICH IS AN OBVIOUS ERROR,1,"BML NOTED ERRONEOUS SVL (=899) BASED ON PRIOR SVL MEASURES OF 966, 1000, 1000, and 1008 mm. SVL= 899 REMOVED FROM DATABASE"
9838,47800,16751,ETH,28-Jun-13,,792809,,3662,,OLD,966,1235,116,,F,V,12,,,M,M,M,,,NWFN,,DEFORMED EYE,1.327992928,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 2,,,
9841,47811,16759,KLD,2-Jul-13,,792809,,3662,,OLD,1000,1276,114,,,X,13,,,M,M,M,,N,NWFN,,RIGHT EYE SUNKEN IN,1.165208345,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),POST KB TRAP 2,,,
