EFFORTID,TRANSID,PROJECTCODE,Date,SITE,OBSERVER,END,ELAPSED,CLOUDS,RAIN,MOON,TRANSECT,COUNT,BAIT,CONFIG,HEIGHT,ARRAY,BI,T-ELAPSED,SPACING,ROW SPACINGl,COMMENTS
11011,52110,GNWR SSP BIRD,9-May-14,RTSI,JMK,1243,24,25,0,,DE,8,Q,M,C,S,0,24,60,60,
11010,52109,GNWR SSP BIRD,9-May-14,RTSI,MMS,1243,24,25,0,,BC,8,Q,M,C,S,0,24,60,60,
11114,52248,GNWR SSP BIRD,10-May-14,RTSI,CJR,811,24,35,0,,DE,8,Q,M,C,S,0,24,60,60,
11115,52249,GNWR SSP BIRD,10-May-14,RTSI,MMS,811,24,35,0,,BC,8,Q,M,C,S,0,24,60,60,
11105,52234,GNWR SSP BIRD,11-May-14,RTSI,JMK,1126,24,80,0,,BC,8,Q,M,C,S,0,24,60,60,
11105,52235,GNWR SSP BIRD,11-May-14,RTSI,JMK,1003,24,80,0,,DE,8,Q,M,C,S,0,24,60,60,
11106,52236,GNWR SSP BIRD,12-May-14,RTSI,PDB,853,24,10,0,,BC,8,Q,M,C,S,0,24,60,60,
11106,52237,GNWR SSP BIRD,12-May-14,RTSI,PDB,940,24,10,0,,DE,8,Q,M,C,S,0,24,60,60,
11107,52238,GNWR SSP BIRD,13-May-14,RTSI,CJR,933,24,70,0,,DE,8,Q,M,C,S,0,24,60,60,
11108,52239,GNWR SSP BIRD,13-May-14,RTSI,JMK,933,24,70,0,,BC,8,Q,M,C,S,0,24,60,60,
11110,52241,GNWR SSP BIRD,14-May-14,RTSI,MMS,806,24,5,0,,DE,8,Q,M,C,S,0,24,60,60,
11109,52240,GNWR SSP BIRD,14-May-14,RTSI,PDB,807,24,20,0,,BC,8,Q,M,C,S,0,24,60,60,
11111,52242,GNWR SSP BIRD,15-May-14,RTSI,JMK,750,24,15,0,,AB,8,Q,M,C,S,0,24,60,60,
11111,52243,GNWR SSP BIRD,15-May-14,RTSI,JMK,750,24,15,0,,CD,8,Q,M,C,S,0,24,60,60,
11112,52244,GNWR SSP BIRD,16-May-14,RTSI,MCV,1012,24,5,0,,AB,8,Q,M,C,S,0,24,60,60,
11112,52245,GNWR SSP BIRD,16-May-14,RTSI,MCV,1012,24,5,0,,CD,8,Q,M,C,S,0,24,60,60,
11113,52246,GNWR SSP BIRD,17-May-14,RTSI,JMK,953,24,35,0,,AB,8,Q,M,C,S,0,24,60,60,
11113,52247,GNWR SSP BIRD,17-May-14,RTSI,JMK,847,24,35,0,,CD,8,Q,M,C,S,0,24,60,60,
11117,52252,GNWR SSP BIRD,18-May-14,RTSI,MMS,749,24,10,0,,AB,8,Q,M,C,S,0,24,60,60,
11117,52253,GNWR SSP BIRD,18-May-14,RTSI,MMS,749,24,10,0,,CD,8,Q,M,C,S,0,24,60,60,
11116,52250,GNWR SSP BIRD,19-May-14,RTSI,PDB,1030,24,35,0,,AB,8,Q,M,C,S,0,24,60,60,
11116,52251,GNWR SSP BIRD,19-May-14,RTSI,PDB,1030,24,35,0,,CD,8,Q,M,C,S,0,24,60,60,
11118,52254,GNWR SSP BIRD,20-May-14,RTSI,JMK,856,24,50,10,,AB,8,Q,M,C,S,0,24,60,60,
11118,52255,GNWR SSP BIRD,20-May-14,RTSI,JMK,856,24,50,10,,CD,8,Q,M,C,S,0,24,60,60,
11119,52256,GNWR SSP BIRD,21-May-14,RTSI,JMK,938,24,10,0,,BC,8,Q,M,C,S,0,24,60,60,
11119,52257,GNWR SSP BIRD,21-May-14,RTSI,JMK,938,24,10,0,,EF,8,Q,M,C,S,0,24,60,60,
11123,52265,GNWR SSP BIRD,22-May-14,RTSI,CJR,1015,24,65,10,,EF,8,Q,M,C,S,1,24,60,60,
11120,52258,GNWR SSP BIRD,22-May-14,RTSI,KLD,1132,24,65,10,,BC,8,Q,M,C,S,0,24,60,60,
11124,52266,GNWR SSP BIRD,23-May-14,RTSI,MMS,1128,24,50,0,,BC,8,Q,M,C,S,0,24,60,60,
11124,52267,GNWR SSP BIRD,23-May-14,RTSI,MMS,1239,24,50,0,,EF,8,Q,M,C,S,0,24,60,60,
11127,52274,GNWR SSP BIRD,24-May-14,RTSI,MCV,735,24,80,0,,BC,8,Q,M,C,S,0,24,60,60,
11127,52275,GNWR SSP BIRD,24-May-14,RTSI,MCV,820,24,80,0,,EF,8,Q,M,C,S,0,24,60,60,
11128,52276,GNWR SSP BIRD,25-May-14,RTSI,CJR,1000,24,90,10,,EF,8,Q,M,C,S,0,24,60,60,
11129,52277,GNWR SSP BIRD,25-May-14,RTSI,JMK,1000,24,90,10,,BC,8,Q,M,C,S,1,24,60,60,
11132,52282,GNWR SSP BIRD,26-May-14,RTSI,KLD,1102,24,95,10,,BC,8,Q,M,C,S,0,24,60,60,
11132,52283,GNWR SSP BIRD,26-May-14,RTSI,KLD,833,24,95,10,,DE,8,Q,M,C,S,0,24,60,60,
11133,52284,GNWR SSP BIRD,27-May-14,RTSI,CJR,1134,24,20,0,,AB,8,Q,M,C,S,0,24,60,60,
11133,52285,GNWR SSP BIRD,27-May-14,RTSI,CJR,857,24,20,0,,DE,8,Q,M,C,S,0,24,60,60,
11138,52294,GNWR SSP BIRD,28-May-14,RTSI,MCV,1034,24,40,0,,AB,7,Q,M,C,S,0,24,60,60,BUNGEES WERE NOT SHUT
11138,52295,GNWR SSP BIRD,28-May-14,RTSI,MCV,930,24,40,0,,DE,8,Q,M,C,S,0,24,60,60,
11143,52305,GNWR SSP BIRD,29-May-14,RTSI,ETH,1215,24,20,0,,DE,8,Q,M,C,S,0,24,60,60,
11139,52296,GNWR SSP BIRD,29-May-14,RTSI,MCV,1221,24,20,0,,AB,8,Q,M,C,S,0,24,60,60,
11141,52300,GNWR SSP BIRD,30-May-14,RTSI,MCV,1108,24,95,10,,AB,8,Q,M,C,S,0,24,60,60,
11141,52301,GNWR SSP BIRD,30-May-14,RTSI,MCV,935,24,95,10,,DE,8,Q,M,C,S,0,24,60,60,
11144,52306,GNWR SSP BIRD,31-May-14,RTSI,ETH,734,24,35,0,,AB,8,Q,M,C,S,0,24,60,60,
11144,52307,GNWR SSP BIRD,31-May-14,RTSI,ETH,738,24,35,0,,DE,8,Q,M,C,S,0,24,60,60,
11146,52310,GNWR SSP BIRD,1-Jun-14,RTSI,CJR,830,24,15,10,,AB,8,Q,M,C,S,0,24,60,60,
11146,52311,GNWR SSP BIRD,1-Jun-14,RTSI,CJR,830,24,15,10,,DE,8,Q,M,C,S,0,24,60,60,
11154,52355,GNWR SSP BIRD,2-Jun-14,RTSI,CJR,1343,24,20,10,,EF,8,Q,M,C,S,1,24,60,60,
11155,52356,GNWR SSP BIRD,2-Jun-14,RTSI,MCV,1315,24,65,0,,CD,8,Q,M,C,S,0,24,60,60,
11860,53766,GNWR SSP BIRD,3-Jun-14,RTSI,CJR,,24,35,0,,EF,8,Q,M,C,S,0,24,60,60,
11157,52360,GNWR SSP BIRD,3-Jun-14,RTSI,MCV,918,24,35,0,,CD,8,Q,M,C,S,0,24,60,60,
11305,52694,GNWR SSP BIRD,4-Jun-14,RTSI,JMK,1049,24,25,0,,EF,8,Q,M,C,S,0,24,60,60,
11861,53767,GNWR SSP BIRD,4-Jun-14,RTSI,TJH,,24,25,0,,CD,8,Q,M,C,S,0,24,60,60,
11356,52755,GNWR SSP BIRD,5-Jun-14,RTSI,JMK,1000,24,60,10,,CD,8,Q,M,C,S,0,24,60,60,
11356,52756,GNWR SSP BIRD,5-Jun-14,RTSI,JMK,1000,24,60,10,,EF,8,Q,M,C,S,0,24,60,60,
11862,53768,GNWR SSP BIRD,6-Jun-14,RTSI,NONE,,24,,,,CD,8,Q,M,C,S,0,24,60,60,
11862,53769,GNWR SSP BIRD,6-Jun-14,RTSI,NONE,,24,,,,EF,8,Q,M,C,S,0,24,60,60,
11411,52984,GNWR SSP BIRD,7-Jun-14,RTSI,TJH,845,24,10,0,,CD,8,Q,M,C,S,0,24,60,60,
11411,52985,GNWR SSP BIRD,7-Jun-14,RTSI,TJH,845,24,10,0,,EF,8,Q,M,C,S,0,24,60,60,
11415,52993,GNWR SSP BIRD,8-Jun-14,RTSI,MMS,1138,24,30,10,,BC,8,Q,M,C,S,0,24,60,60,
11415,52994,GNWR SSP BIRD,8-Jun-14,RTSI,MMS,1138,24,30,10,,DE,8,Q,M,C,S,0,24,60,60,
11418,53001,GNWR SSP BIRD,9-Jun-14,RTSI,JMK,926,24,20,0,,BC,7,Q,M,C,S,0,24,60,60,TRAP NOT BUNGEED DOWN. SNAKES COULD HAVE ESCAPED
11418,53002,GNWR SSP BIRD,9-Jun-14,RTSI,JMK,817,24,20,0,,DE,7,Q,M,C,S,0,24,60,60,TRAP NOT BUNGEED DOWN. SNAKES COULD HAVE ESCAPED
11419,53003,GNWR SSP BIRD,10-Jun-14,RTSI,MCV,1154,24,60,0,,BC,8,Q,M,C,S,0,24,60,60,
11419,53004,GNWR SSP BIRD,10-Jun-14,RTSI,MCV,1039,24,60,0,,DE,8,Q,M,C,S,0,24,60,60,
11421,53008,GNWR SSP BIRD,11-Jun-14,RTSI,MCV,1258,24,30,0,,BC,8,Q,M,C,S,0,24,60,60,
11421,53009,GNWR SSP BIRD,11-Jun-14,RTSI,MCV,1206,24,30,0,,DE,8,Q,M,C,S,0,24,60,60,
11423,53013,GNWR SSP BIRD,12-Jun-14,RTSI,MCV,1113,24,50,0,,BC,8,Q,M,C,S,0,24,60,60,
11423,53014,GNWR SSP BIRD,12-Jun-14,RTSI,MCV,1113,24,50,0,,DE,8,Q,M,C,S,0,24,60,60,
11427,53023,GNWR SSP BIRD,13-Jun-14,RTSI,JMK,840,24,20,10,,BC,8,Q,M,C,S,0,24,60,60,
11427,53024,GNWR SSP BIRD,13-Jun-14,RTSI,JMK,840,24,20,10,,DE,8,Q,M,C,S,0,24,60,60,
11410,52982,GNWR SSP BIRD,14-Jun-14,RTSI,MCV,1148,24,20,0,,AB,8,Q,M,C,S,0,24,60,60,
11410,52983,GNWR SSP BIRD,14-Jun-14,RTSI,MCV,1152,24,20,0,,CD,8,Q,M,C,S,0,24,60,60,
11490,53089,GNWR SSP BIRD,15-Jun-14,RTSI,CJR,906,24,10,10,,AB,8,Q,M,C,S,0,24,60,60,
11488,53087,GNWR SSP BIRD,15-Jun-14,RTSI,TJH,758,24,10,10,,CD,8,Q,M,C,S,0,24,60,60,
11512,53113,GNWR SSP BIRD,16-Jun-14,RTSI,JMK,905,24,10,10,,AB,8,Q,M,C,S,0,24,60,60,
11512,53114,GNWR SSP BIRD,16-Jun-14,RTSI,JMK,808,24,10,10,,CD,8,Q,M,C,S,0,24,60,60,
11511,53111,GNWR SSP BIRD,17-Jun-14,RTSI,PDB,825,24,85,11,,AB,8,Q,M,C,S,0,24,60,60,
11511,53112,GNWR SSP BIRD,17-Jun-14,RTSI,PDB,910,24,85,11,,CD,8,Q,M,C,S,0,24,60,60,
11514,53117,GNWR SSP BIRD,18-Jun-14,RTSI,MCV,1205,24,35,0,,AB,8,Q,M,C,S,0,24,60,60,
11514,53118,GNWR SSP BIRD,18-Jun-14,RTSI,MCV,1205,24,35,0,,CD,7,Q,M,C,S,0,24,60,60,LEFT SIDE COVER IS SLIGHTLY OPEN
11522,53131,GNWR SSP BIRD,19-Jun-14,RTSI,ETH,1020,24,25,10,,AB,8,Q,M,C,S,0,24,60,60,
11522,53132,GNWR SSP BIRD,19-Jun-14,RTSI,ETH,1202,24,25,10,,CD,8,Q,M,C,S,0,24,60,60,
11524,53134,GNWR SSP BIRD,20-Jun-14,RTSI,ETH,1221,24,70,10,,BC,8,Q,M,C,S,0,24,60,60,
11524,53135,GNWR SSP BIRD,20-Jun-14,RTSI,ETH,1215,24,70,10,,EF,8,Q,M,C,S,0,24,60,60,
11525,53136,GNWR SSP BIRD,21-Jun-14,RTSI,MCV,835,24,85,10,,BC,8,Q,M,C,S,0,24,60,60,
11525,53137,GNWR SSP BIRD,21-Jun-14,RTSI,MCV,832,24,85,10,,EF,8,Q,M,C,S,0,24,60,60,
11536,53152,GNWR SSP BIRD,22-Jun-14,RTSI,JMK,1205,24,40,10,,BC,8,Q,M,C,S,1,24,60,60,
11536,53153,GNWR SSP BIRD,22-Jun-14,RTSI,JMK,1124,24,40,10,,EF,8,Q,M,C,S,0,24,60,60,
11539,53160,GNWR SSP BIRD,23-Jun-14,RTSI,MCV,905,24,30,10,,BC,8,Q,M,C,S,0,24,60,60,
11539,53161,GNWR SSP BIRD,23-Jun-14,RTSI,MCV,830,24,30,10,,EF,8,Q,M,C,S,0,24,60,60,
11540,53162,GNWR SSP BIRD,24-Jun-14,RTSI,MCV,1024,24,100,11,,BC,8,Q,M,C,S,0,24,60,60,
11540,53163,GNWR SSP BIRD,24-Jun-14,RTSI,MCV,1026,24,100,11,,EF,8,Q,M,C,S,0,24,60,60,
11542,53170,GNWR SSP BIRD,25-Jun-14,RTSI,MCV,1035,24,60,10,,BC,8,Q,M,C,S,0,24,60,60,
11542,53171,GNWR SSP BIRD,25-Jun-14,RTSI,MCV,910,24,60,10,,EF,8,Q,M,C,S,0,24,60,60,
11544,53174,GNWR SSP BIRD,26-Jun-14,RTSI,PDB,1233,24,70,10,,AB,8,Q,M,C,S,0,24,60,60,
11544,53175,GNWR SSP BIRD,26-Jun-14,RTSI,PDB,1237,24,70,10,,DE,8,Q,M,C,S,0,24,60,60,
11546,53179,GNWR SSP BIRD,27-Jun-14,RTSI,MCV,923,24,20,10,,BC,8,Q,M,C,S,0,24,60,60,
11546,53180,GNWR SSP BIRD,27-Jun-14,RTSI,MCV,835,24,20,10,,DE,8,Q,M,C,S,0,24,60,60,
11549,53184,GNWR SSP BIRD,28-Jun-14,RTSI,MCV,1127,24,20,10,,AB,8,Q,M,C,S,0,24,60,60,
11549,53185,GNWR SSP BIRD,28-Jun-14,RTSI,MCV,1037,24,20,10,,DE,8,Q,M,C,S,0,24,60,60,
11552,53192,GNWR SSP BIRD,29-Jun-14,RTSI,CJR,845,24,25,0,,AB,8,Q,M,C,S,0,24,60,60,
11552,53193,GNWR SSP BIRD,29-Jun-14,RTSI,CJR,930,24,25,0,,DE,8,Q,M,C,S,0,24,60,60,
11553,53194,GNWR SSP BIRD,30-Jun-14,RTSI,MCV,1030,24,70,10,,AB,8,Q,M,C,S,0,24,60,60,
11553,53195,GNWR SSP BIRD,30-Jun-14,RTSI,MCV,1030,24,70,10,,DE,8,Q,M,C,S,0,24,60,60,
11569,53227,GNWR SSP BIRD,1-Jul-14,RTSI,ETH,831,24,85,10,,AB,8,Q,M,C,S,0,24,60,60,
11569,53228,GNWR SSP BIRD,1-Jul-14,RTSI,ETH,916,24,85,10,,DE,8,Q,M,C,S,0,24,60,60,
11555,53202,GNWR SSP BIRD,2-Jul-14,RTSI,TJH,1100,24,80,11,,CD,8,Q,M,C,S,0,24,60,60,
11555,53203,GNWR SSP BIRD,2-Jul-14,RTSI,TJH,1005,24,80,11,,EF,8,Q,M,C,S,0,24,60,60,
11556,53204,GNWR SSP BIRD,3-Jul-14,RTSI,ETH,1144,24,90,10,,CD,8,Q,M,C,S,0,24,60,60,
11556,53205,GNWR SSP BIRD,3-Jul-14,RTSI,ETH,1111,24,90,10,,EF,8,Q,M,C,S,0,24,60,60,
11571,53231,GNWR SSP BIRD,4-Jul-14,RTSI,TJH,953,24,100,10,,CD,8,Q,M,C,S,1,24,60,60,
11571,53232,GNWR SSP BIRD,4-Jul-14,RTSI,TJH,902,24,100,10,,EF,8,Q,M,C,S,1,24,60,60,
11572,53233,GNWR SSP BIRD,5-Jul-14,RTSI,JMK,1207,24,95,10,,CD,8,Q,M,C,S,0,24,60,60,
